Sitio,Domicilio,Latitude,Longitude
CALLE Atlixco,"Autopista Siglo 21 km 15+600, Paraje los Girasoles  ",18.86168166,-98.58364693
CALLE Izúcar de Matamoros,"Carretera federal 160, km 65.9 Rancho los Juanitos, Izúcar de Matamoros",18.59940528,-98.46753634
CALLE Cuapiaxtla,Carretera Federal Puebla Tehuacán km 43+800,19.05845491,-98.15368464
CALLE Huejotzingo,"Autopista Mex-Pue km 100+200,  Santa Ana Xalmimilulco",19.22270297,-98.36146255
CALLE Palmar de Bravo,Km 199 + 500 Autopista Puebla-Veracruz,18.91044708,-97.63181394
C5 Regional Tehuacán ,Av. 9 oriente s/n Manantiales Tehuacan ,18.47430367,-97.43613645
Subcentro Zacatlán,"Av. Luis Cabrera S/N, Col. Las Peñas, Zacatlán, Puebla, CP 73310.",19.94100673,-97.96124352
Subcentro Libres,"Calle México s/n, Fraccionamiento Villa Montana,  barrio de Cuahtzolco",19.47542751,-97.67964032
Teziutlán ,"Avenida Hidalgo s/n antigua estación del ferrocarril, el Pinal Teziutlán, Puebla",19.80733258,-97.36381893
C4,"31 poniente 1717, los Volcanes Puebla, Puebla",19.03913331,-98.21816842
