Region,Municipio,Población femenina,Incidencia,Tasa delictiva
Ajalpan,Chapulco,4256,6,140.97744360902254
San Martín Texmelucan,Tlaltenango,3791,4,105.51305724083356
Acatlán,Tepeyahualco de Cuauhtémoc,2035,2,98.28009828009827
Zacatlán,Zacatlán,45856,44,95.95254710397766
Teziutlán,Yaonáhuac,4243,4,94.27292010370022
Atlixco,Tepeojuma,4779,4,83.69951872776731
Tepeaca,Tecali de Herrera,12131,10,82.4334350012365
Atlixco,Ocoyucan,22249,17,76.4079284462223
Acatlán,Tehuitzingo,6579,5,75.99939200486396
Puebla,Coronango,23852,18,75.46536978031192
San Martín Texmelucan,Juan C. Bonilla,12308,8,64.99837504062398
San Martín Texmelucan,San Miguel Xoxtla,6372,4,62.77463904582549
Puebla,Amozoc,64397,40,62.1146947839185
Acatlán,Santa Inés Ahuatempan,3303,2,60.551014229488345
Puebla,San Pedro Cholula,71979,42,58.35035218605427
Huauchinango,Juan Galindo,5269,3,56.93680015183146
San Martín Texmelucan,Nealtican,7260,4,55.09641873278236
Puebla,San Andrés Cholula,80176,43,53.632009578926365
Teziutlán,Teteles de Ávila Castillo,3766,2,53.10674455655868
Tehuacán,Tehuacán,172905,91,52.63005696769902
Tehuacán,Santiago Miahuatlán,15636,8,51.16398055768739
Puebla,Cuautlancingo,70485,36,51.07469674398808
Atlixco,Santa Isabel Cholula,5885,3,50.97706032285472
San Martín Texmelucan,San Salvador el Verde,17925,9,50.20920502092051
Huauchinango,Huauchinango,55128,27,48.97692642577275
Puebla,Puebla,882696,423,47.921368172054706
Zacatlán,Tepango de Rodríguez,2236,1,44.72271914132379
Teziutlán,Zaragoza,8998,4,44.45432318292954
San Martín Texmelucan,San Martín Texmelucan,80816,34,42.07087705404871
San Martín Texmelucan,Huejotzingo,46719,19,40.66867869603374
Chalchicomula de Sesma,Chalchicomula de Sesma,24622,10,40.61408496466575
Atlixco,Huehuetlán el Chico,4968,2,40.25764895330113
Atlixco,Izúcar de Matamoros,43258,17,39.29908918581534
Teziutlán,Atempan,15463,6,38.802302269934685
Acatlán,Tulcingo,5230,2,38.24091778202677
Huauchinango,Xicotepec,42143,16,37.96597299670171
San Martín Texmelucan,Calpan,7934,3,37.81194857574994
Ajalpan,Coxcatlán,10878,4,36.77146534289392
Chalchicomula de Sesma,Rafael Lara Grajales,8327,3,36.027380809415156
Teziutlán,Zacapoaxtla,30736,11,35.78865174388339
Ajalpan,San Gabriel Chilac,8385,3,35.77817531305903
Tepeaca,Tlanepantla,2808,1,35.612535612535616
Ajalpan,Palmar de Bravo,25631,9,35.113729468222076
Acatlán,Acatlán,20119,7,34.792981758536705
Atlixco,Atlixco,74931,26,34.69858936888604
Acatlán,Huitziltepec,2985,1,33.50083752093803
Chalchicomula de Sesma,Oriental,10225,3,29.3398533007335
Teziutlán,Hueyapan,6821,2,29.321213898255387
Acatlán,Tecomatlán,3414,1,29.291154071470416
Tepeaca,Acajete,37755,11,29.13521387895643
San Martín Texmelucan,Tlahuapan,21086,6,28.454898985108606
Tehuacán,Xochitlán Todos Santos,3771,1,26.518164942985948
Ajalpan,Altepexi,11740,3,25.553662691652473
Tehuacán,Tepanco de López,11817,3,25.38715410002539
Acatlán,Atoyatempan,3944,1,25.35496957403651
Teziutlán,Teziutlán,54934,12,21.84439509229257
Tehuacán,Ixcaquixtla,4611,1,21.687269572760787
Tepeaca,Tecamachalco,41990,9,21.43367468444868
Ajalpan,Zinacatepec,9578,2,20.881186051367717
Tepeaca,Santo Tomás Hueyotlipan,4791,1,20.87246921310791
San Martín Texmelucan,San Gregorio Atzompa,4989,1,20.044097013429546
Huauchinango,Venustiano Carranza,14982,3,20.024028834601523
Tepeaca,Los Reyes de Juárez,15415,3,19.461563412260784
Atlixco,Chiautla,11027,2,18.137299356125872
Chalchicomula de Sesma,Xiutetelco,22264,4,17.966223499820337
Teziutlán,Chignautla,18291,3,16.40150893882237
Tepeaca,Tepeaca,43761,7,15.995978154064122
Tepeaca,Acatzingo,32820,5,15.234613040828764
Atlixco,Atzitzihuacán,6832,1,14.637002341920375
Tehuacán,Yehualtepec,13683,2,14.616677629174887
Ajalpan,San José Miahuatlán,7298,1,13.702384214853385
Chalchicomula de Sesma,Esperanza,7675,1,13.02931596091205
Chalchicomula de Sesma,San Salvador el Seco,15649,2,12.780369352674294
Tepeaca,Nopalucan,16881,2,11.847639357857947
Atlixco,Chietla,19041,2,10.503650018381387
Tehuacán,Tlacotepec de Benito Juárez,29003,3,10.343757542323209
Ajalpan,Quecholac,29625,2,6.751054852320675
Chalchicomula de Sesma,Aljojuca,3491,0,0
Zacatlán,Caxhuacan,1995,0,0
San Martín Texmelucan,Chiautzingo,11543,0,0
Tepeaca,Cuapiaxtla de Madero,5346,0,0
San Martín Texmelucan,Domingo Arenas,4150,0,0
Ajalpan,General Felipe Ángeles,11712,0,0
Chalchicomula de Sesma,Guadalupe Victoria,9575,0,0
Atlixco,Jolalpan,6890,0,0
Ajalpan,Nicolás Bravo,3414,0,0
San Martín Texmelucan,San Felipe Teotlalcingo,5714,0,0
Chalchicomula de Sesma,San José Chiapa,5336,0,0
San Martín Texmelucan,San Matías Tlalancaleca,10756,0,0
Chalchicomula de Sesma,San Nicolás Buenos Aires,5344,0,0
San Martín Texmelucan,San Nicolás de los Ranchos,6043,0,0
Tepeaca,San Salvador Huixcolotla,8614,0,0
Tepeaca,Soltepec,6528,0,0
Acatlán,Teopantlán,2124,0,0
Tepeaca,Tepatlaxco de Hidalgo,9734,0,0
Atlixco,Tepexco,3819,0,0
Tepeaca,Tochtepec,11626,0,0
Zacatlán,Zongozotla,2322,0,0
